,scores,logFC,PValue,FDR
TEK,-0.3690459,0.21162704,0.7120935016834044,0.970154634446055
MMP1,-0.37778488,,0.7055904154408678,0.970154634446055
TLR2,-0.38314024,0.37089288,0.7016157814268155,0.9690825710315132
CCL28,-0.3851983,0.3366845,0.7000905050446657,0.9690825710315132
IL22,-0.3869164,-1.6803081,0.6988180950173479,0.9690825710315132
KLRC1,-0.39097288,-0.05964483,0.6958172717153436,0.9690825710315132
CD209,-0.39669675,-0.48451433,0.6915910944740357,0.9659093498240724
MRC1,-0.40306562,-1.1636039,0.6868999534625364,0.9620447527486504
NCAM1,-0.40914655,-0.7794972,0.6824321209348085,0.9584720799646188
CD160,-0.42103377,0.3064859,0.6737304158145362,0.9506941704873956
BAK1,-0.42491713,0.18336181,0.6708970906761416,0.9506941704873956
PREX2,-0.43715826,-0.28898963,0.6619965811814051,0.9506941704873956
TGFBR1,-0.43939325,0.1846595,0.6603766119387159,0.9506941704873956
IL5RA,-0.44161305,-0.57889855,0.6587692492818256,0.9506941704873956
CLCA1,-0.44333938,-2.0574358,0.6575202687458929,0.9506941704873956
SLC13A3,-0.44363177,,0.6573088349868303,0.9506941704873956
SMOC2,-0.4497742,-1.202703,0.6528732535883786,0.9506941704873956
KIT,-0.47121412,0.2412412,0.6374878439328105,0.9402475574230243
MMP2,-0.48698342,-0.07359781,0.6262700796320381,0.9264350290414765
CD163,-0.49135005,-0.17755722,0.6231788902691971,0.9245977600433192
CIITA,-0.4958137,0.25983933,0.620025855776133,0.9226575234763882
LGR5,-0.51238465,0.054473042,0.6083818159186183,0.9107512214350572
ANGPT2,-0.5172295,0.26682633,0.6049959615932016,0.9084023447345368
DIABLO,-0.5184688,-0.08659861,0.6041312436601324,0.9084023447345368
DDIT3,-0.52431506,-0.012678694,0.6000594413007531,0.9084023447345368
SIGLEC1,-0.52622277,0.39651743,0.5987334305134488,0.9084023447345368
CXCR1,-0.54686797,0.43053806,0.5844694269338002,0.899183733744308
MTOR,-0.54787326,-0.64758754,0.58377894776454,0.899183733744308
CCL5,-0.5585941,-0.049502127,0.576438743697759,0.8923200366838376
ELANE,-0.5630832,0.37782812,0.5733782560853304,0.8903389069647987
ADAMTS4,-0.58435374,0.59723914,0.5589823553532917,0.8761478924032786
CHEK1,-0.60298973,0.2234294,0.546515527762734,0.8620118734427981
SMO,-0.62689865,0.20573938,0.5307256750593587,0.8424217064434266
FOSL1,-0.63137877,0.13131578,0.5277928778816047,0.8404345189197528
FGFBP2,-0.6316953,-0.5760743,0.5275860183392628,0.8404345189197528
MUC4,-0.63660926,-0.08557067,0.5243794123671712,0.8403516223832872
FLI1,-0.63923556,-0.831909,0.522669712069278,0.8403050033268135
CCL3,-0.6419817,-0.8219878,0.5208850464199588,0.8403050033268135
FABP2,-0.6462234,-3.0268915,0.518134680898856,0.8403050033268135
FLT1,-0.6536305,-0.107508585,0.5133498917584431,0.8388070126771947
CCR3,-0.65776056,0.45791492,0.5106920050006478,0.8372000081977832
IRF5,-0.6634755,-0.91044295,0.5070260435701294,0.8339244137666603
XCR1,-0.670941,-0.28406405,0.5022581356964742,0.8288088047796603
ITGAM,-0.6754706,-0.0672224,0.4993768321438623,0.8267828346752686
FBLN1,-0.69446176,-0.039529625,0.4873926801500194,0.8123211335833657
ARAF,-0.6984529,-0.010184814,0.4848939951397894,0.8108595236451329
HLA-DMA,-0.70172423,-0.0059333495,0.4828511569365839,0.8101529478801744
MFAP5,-0.71614456,-0.7890564,0.4739020951492008,0.7978149749986547
IL1R2,-0.72445035,1.542927,0.4687893079516654,0.7970031982561406
