group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
in,ROR1,0.07976044,-0.35266936,0.93642779069853054885,0.99984759063045269833,6.619559272716956762e-05
in,TGM2,0.07872622,0.24180679,0.9372503917168339971,0.99984759063045269833,6.619559272716956762e-05
in,TCF7L2,0.07657864,0.0030822374,0.93895874978272253486,0.99984759063045269833,6.619559272716956762e-05
in,CD1B,0.074441984,,0.94065870381279714785,0.99984759063045269833,6.619559272716956762e-05
in,CCL28,0.07072261,0.07467125,0.9436185235584046982,0.99984759063045269833,6.619559272716956762e-05
in,TBX3,0.06951648,-0.02778962,0.9445785168838785051,0.99984759063045269833,6.619559272716956762e-05
in,GZMH,0.069000736,0.41682634,0.94498903641728859704,0.99984759063045269833,6.619559272716956762e-05
in,CLCA1,0.06725429,-2.1969273,0.94637926332564337173,0.99984759063045269833,6.619559272716956762e-05
in,ELANE,0.06699233,-0.23744255,0.9465878115496316747,0.99984759063045269833,6.619559272716956762e-05
in,PTEN,0.0617994,-0.5921981,0.950722582529427207,0.99984759063045269833,6.619559272716956762e-05
in,MYH11,0.05722045,-0.9787535,0.9543695861598291419,0.99984759063045269833,6.619559272716956762e-05
in,CCR6,0.05126073,0.07360887,0.95911776169719653584,0.99984759063045269833,6.619559272716956762e-05
in,HGF,0.050513033,0.14165151,0.9597135635983593538,0.99984759063045269833,6.619559272716956762e-05
in,LGR6,0.043284412,-0.02634155,0.96547481770677889834,0.99984759063045269833,6.619559272716956762e-05
in,COL6A3,0.0418627,-0.06123506,0.9666081512297115541,0.99984759063045269833,6.619559272716956762e-05
in,CCL11,0.034844197,-0.6267263,0.9722039782711090483,0.99984759063045269833,6.619559272716956762e-05
in,CD274,0.03460133,-0.4892191,0.9723976391180390033,0.99984759063045269833,6.619559272716956762e-05
in,TNFSF10,0.03408286,-0.004779533,0.9728110778179508422,0.99984759063045269833,6.619559272716956762e-05
in,APC,0.031495944,0.14924125,0.9748740262922588329,0.99984759063045269833,6.619559272716956762e-05
in,CEACAM1,0.03128037,0.1908204,0.9750459464427536638,0.99984759063045269833,6.619559272716956762e-05
in,STAT3,0.03123398,0.41090977,0.97508294207002788045,0.99984759063045269833,6.619559272716956762e-05
in,RET,0.02636305,-3.0849843,0.9789677658962813167,0.99984759063045269833,6.619559272716956762e-05
