group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
out,PDCD1LG2,0.13260707,0.026427373,0.8945041354033744785,0.9836746259404877124,0.0071485311688227621717
out,IFITM1,0.13136019,-0.32907206,0.89549037550857646384,0.9836746259404877124,0.0071485311688227621717
out,PGLYRP1,0.12961735,0.40673974,0.89686917478707184337,0.9836746259404877124,0.0071485311688227621717
out,FCER1A,0.12714452,-0.19885106,0.89882601780527582314,0.9836746259404877124,0.0071485311688227621717
out,PMS2,0.12488732,-0.1473806,0.90061275799084594684,0.9836746259404877124,0.0071485311688227621717
out,TBX10,0.123530716,-0.098597646,0.90168685235756740326,0.9836746259404877124,0.0071485311688227621717
out,EGF,0.12301065,0.10842293,0.9020986614774060275,0.9836746259404877124,0.0071485311688227621717
out,KRAS,0.12022515,,0.9043047970409987535,0.9836746259404877124,0.0071485311688227621717
out,COL6A3,0.11930806,0.19334544,0.90503129653804836874,0.9836746259404877124,0.0071485311688227621717
out,CD86,0.115965076,-0.30231068,0.9076802215450250344,0.9836746259404877124,0.0071485311688227621717
out,ANGPT1,0.111511566,-0.12117665,0.91121069682405619883,0.9836746259404877124,0.0071485311688227621717
out,CCL22,0.107359305,-0.20072012,0.9145039359092318465,0.9836746259404877124,0.0071485311688227621717
out,NOS3,0.10238066,0.15226388,0.91845453444718494485,0.9836746259404877124,0.0071485311688227621717
out,DES,0.101991884,-0.29299715,0.9187631194542905666,0.9836746259404877124,0.0071485311688227621717
out,SRPRB,0.09683248,0.4125932,0.9228594299687563618,0.9836746259404877124,0.0071485311688227621717
out,CD1E,0.09495898,-0.34013686,0.9243474040024499683,0.9836746259404877124,0.0071485311688227621717
out,IFNB1,0.094411016,-0.28453812,0.9247826640112871699,0.9836746259404877124,0.0071485311688227621717
out,IL12A,0.08257198,-0.12834805,0.93419187906766953944,0.9836746259404877124,0.0071485311688227621717
out,TGFB2,0.07602871,-0.20871021,0.93939625822770556063,0.9836746259404877124,0.0071485311688227621717
out,CA7,0.072040714,-1.1694851,0.942569504958803539,0.9836746259404877124,0.0071485311688227621717
out,IL6,0.06431969,-0.25591907,0.94871567561291247905,0.98414489171463948036,0.006940957422554193272
out,CCL7,0.05928523,-0.10735744,0.9527249247358753337,0.98477208869310361994,0.006664269071813915461
out,KDR,0.058614224,0.24846691,0.95325938185492431476,0.98477208869310361994,0.006664269071813915461
out,HLA-DPA1,0.051660605,-0.016117502,0.9587991272659307507,0.9863204855254898984,0.005981946640872863143
out,EPHB4,0.05025707,0.11286449,0.959917532776830007,0.9863204855254898984,0.005981946640872863143
out,BTLA,0.03158302,-0.78680974,0.9748045851349712576,0.98871821615811539274,0.00492746432259546616
out,VCAM1,0.029221175,-0.19081867,0.9766881937740159447,0.98871821615811539274,0.00492746432259546616
